label,REAL.DEPTH
Background,22.75
Fragmented hc,22.75
Blurry specimens,22.75
Fragmented hc,22.75
Background,22.75
Fragmented hc,22.75
Micropsectra radialis,22.75
Background,22.75
Fragmented hc,22.75
Particles,22.75
Fragmented hc,22.75
Psectrocladius spp,22.75
Particles,22.75
Particles,22.75
Background,22.75
Particles,22.75
Pollen,22.75
Orthocladiinae Diamesinae,22.75
Particles,22.75
Particles,22.75
Psectrocladius spp,22.75
Particles,22.75
Micropsectra radialis,22.75
Pollen,22.75
Particles,22.75
Fragmented hc,22.75
Background,22.75
Multiple,22.75
Particles,22.75
Pollen,22.75
Background,22.75
Psectrocladius spp,22.75
Psectrocladius spp,22.75
Particles,22.75
Particles,22.75
Diatom,22.75
Particles,22.75
Psectrocladius spp,22.75
Particles,22.75
Background,22.75
Micropsectra radialis,22.75
Background,22.75
Psectrocladius spp,22.75
Particles,22.75
Psectrocladius spp,22.75
Psectrocladius spp,22.75
Background,22.75
Multiple,22.75
Background,22.75
Psectrocladius spp,22.75
Pollen,22.75
Background,22.75
Micropsectra radialis,22.75
Particles,22.75
Background,22.75
Particles,22.75
Particles,22.75
Psectrocladius spp,22.75
Particles,22.75
Particles,22.75
Particles,22.75
Background,22.75
Psectrocladius spp,22.75
Micropsectra radialis,22.75
Pollen,22.75
Multiple,22.75
Psectrocladius spp,22.75
Particles,22.75
Psectrocladius spp,22.75
Fragmented hc,22.75
Fragmented hc,22.75
Particles,22.75
Fragmented hc,22.75
Psectrocladius spp,22.75
Fragmented hc,22.75
Background,22.75
Micropsectra radialis,22.75
Pollen,22.75
Micropsectra radialis,22.75
Multiple,22.75
Particles,22.75
Pollen,22.75
Particles,22.75
Particles,22.75
Particles,22.75
Background,22.75
Psectrocladius spp,22.75
Background,22.75
Background,22.75
Background,22.75
Particles,22.75
Background,22.75
Psectrocladius spp,22.75
Background,22.75
Pollen,22.75
Particles,22.75
Background,22.75
Fragmented hc,22.75
Micropsectra radialis,22.75
Particles,22.75
Pollen,22.75
Pollen,22.75
Background,22.75
Pollen,22.75
Micropsectra radialis,22.75
Background,22.75
Pollen,22.75
Psectrocladius spp,22.75
Multiple,22.75
Fragmented hc,22.75
Pollen,22.75
Blurry specimens,22.75
Background,22.75
unsure,22.75
Psectrocladius spp,22.75
Blurry specimens,22.75
Fragmented hc,22.75
Chaoborus mandible,22.75
Blurry specimens,22.75
Micropsectra radialis,22.75
Blurry specimens,22.75
Blurry specimens,22.75
Background,22.75
Background,22.75
Background,22.75
Diatom,22.75
Blurry specimens,22.75
Psectrocladius spp,22.75
Background,22.75
Blurry specimens,22.75
Background,22.75
Fragmented hc,22.75
Psectrocladius spp,22.75
Background,22.75
Psectrocladius spp,22.75
Blurry specimens,22.75
Background,22.75
Background,22.75
Particles,22.75
Background,22.75
Background,22.75
Psectrocladius spp,22.75
Background,22.75
Particles,22.75
Background,22.75
Background,22.75
Diatom,22.75
Psectrocladius spp,22.75
Particles,22.75
Particles,22.75
Background,22.75
Background,22.75
Background,22.75
Particles,22.75
Psectrocladius spp,22.75
Background,22.75
Background,22.75
Background,22.75
Background,22.75
Background,22.75
Psectrocladius spp,22.75
Background,22.75
Background,22.75
Pollen,22.75
Background,22.75
Pollen,22.75
Pollen,22.75
Psectrocladius spp,22.75
Psectrocladius spp,22.75
Pollen,22.75
Psectrocladius spp,22.75
Pollen,22.75
Fragmented hc,22.75
Fragmented hc,22.75
Multiple,22.75
Particles,22.75
Fragmented hc,22.75
Particles,22.75
Particles,22.75
Particles,22.75
Psectrocladius spp,22.75
Pollen,22.75
Tanypodinae,22.75
